status_id,status_giver_name,status_giver_id,status_message,link_name,status_type,status_link,status_published,num_reactions,reaction_giver_idnum_comments,comment_giver_id,num_shares
172177269650835_735690009966222,Sadia Afrin Chcp,1841573179495466,https://m.facebook.com/story.php?story_fbid=845478908949506&id=149511605212910,RadioZee.com,video,https://www.facebook.com/RadioZee/videos/845478908949506/,2017-07-21 02:02:22,2,"['142829839634487', '1492300210829386']",0,[],2
172177269650835_735962546605635,Arif Khan,1307104319348814,"চা ফসলে ম্যাজিক গ্রোথ প্রযুক্তির ফলাফল

২০০৮ বা ০৯ সালে চা গাছের উপরে ম্যাজিক গ্রোথের বা ম্যাজিক গ্রোথ প্রযুক্তির কার্যকারিতার বিষয়টি প্রথম পরীক্ষা করি পঞ্চগড় জেলার চা গবেষণা কেন্দ্রের বৈজ্ঞানিক কর্মকর্তা জনাব মোঃ আমির হোসেন সাহেবের মাধ্যমে। তিনি মেইলের মাধ্যমে পরীক্ষার ছবি পাঠান। সে সময়ে ২টি ছবি ব্যবহার করে একটি পাওয়ার পয়েন্টে প্রেজেন্টেশনের স্লাইড তৈরী করি। বিভিন্ন ফসলের উপর ম্যাজিক গ্রোথের কার্যকারিতার বিষয়ে সে সময়ে যে পাওয়ার পয়েন্ট প্রেজেন্টেশন তৈরী করেছিলাম তা কৃষি মন্ত্রণালয়, মাননীয় প্রধানমন্ত্রীর দপ্তরের সংশ্লিষ্ট গভরনেন্স ইনোভেশন ইউনিট বা সংশ্লিষ্ট নয় এমন অনেক উচ্চ পর্যায়ের বিভিন্ন কর্মকর্তা মহোদয়গণের কাছেই পাঠিয়ে ছিলাম বিষয়টির প্রতি দৃষ্টি আকর্ষণের জন্য । 
এ বছরে ২০১৭ সালে একজন সাধারণ চাষির মাধ্যমে যে পরীক্ষা করেছি তা সোসাল মিডিয়া ফেসবুকের কল্যাণে আবারও বিষয়টি সংশ্লিষ্ট সকলের দৃষ্টিতে আনার জন্যে আজকে আগের এবং পরের পরীক্ষার সমন্বয়ে নতুন করে একটি পোষ্ট দিলাম। আশা করি বিষয়টি অনেকের ভাবনার বা চিন্তার খোরাক হতে পারে।

পরীক্ষা সম্পাদনকারী রাইসুল ইসলাম ঝিনুক সদ্য মাষ্টার্স শেষ করা উদ্যমী একজন যুবক যে চা চাষের সাথে সম্পৃক্ত হয়েছে। গত কালকেই তিনি ছবি দুইটি তুলেছেন বলে জানিয়েছেন। তিনি জানান ম্যাজিক গ্রোথ অনেক আগেই শেষ হয়ে গেছে একারণে কন্ট্রোল অংশের সাথে পরীক্ষার অংশের গাছের পাতার কালারের পার্থক্য অনেকটা কমে গেছে তবে সামগ্রীকভাবে এখনও পরীক্ষার অংশের গাছ ভালো বলে জানান। ১৫-২০% ফলন বৃদ্ধি ছাড়াও ঝিনুক, এ বছরে একটা নতুন তথ্য দেন। তিনি বলেন যে, যে অংশে ম্যাজিক গ্রোথ (৫ মিলি লিটার পানিতে মিশিয়ে ৭ দিন পরপর) অতিরিক্ত পরিপূরক হিসাবে ব্যবহার করেছিলেন সেখানে লাল মাকড়ের ( চায়ের জন্য এটা একটা বড় সমস্যা যা পাতার মান ও ফলন অনেক কমিয়ে দেয়) আক্রমন অনেক কম হয়েছে।

গাছের পাতার কালার ভালো, স্বাস্থ্য ভালো বা ফলন বৃদ্ধির বিষয়ে আমার বক্তব্য,--- 
পঞ্চগড়ের মাটি বেলে বা বেলে দোয়াশ প্রকৃতির এবং উর্বরতার মানের দিক থেকে নিম্নমানের। এই এলাকার মাটি অম্লধর্মী হওয়ায় এমন মাটিতে ফসফরাসে উপাদানটি গাছের জন্য সহজে গ্রহণযোগ্য অবস্থাতে থাকে না। এমন অনুর্ববর মাটিতে যখন অতিরিক্ত পরিপূরক হিসাবে বিভিন্ন পুষ্টি উপাদান এবং কিছু বেনিফিসিয়ারী উপাদানে সম্বৃদ্ধ মিশ্র তরল সার ম্যাজিক গ্রোথ ব্যবহার করা হয় তখন গাছ দ্রুত বিভিন্ন পুষ্টি উপাদান পেয়ে সুস্থ থাকে এবং ভালো ফলন দেয়। (আমাদের বাচ্চাদের পুষ্টির বিষয়টি ভালোভাবে নিয়ন্ত্রণ করতে পারলে তাদের থেকেও আমরা যেমন ভালো ফলাফল পাব বিষয়টা অনেকটা এমন)।

আর লাল মাকড়ের আক্রমন কম হবার বিষয়ে আমার মত হলো। ফোলিয়ার ফিডিং (পাতার বা এরিয়াল অংশের মাধ্যমে গাছকে পুষ্টি দেবার কৌশল) কৌশল প্রয়োগ করলে যেহেতেু গাছের স্বাস্থ্য বেশী ভালো থাকে, তার পুষ্টি মান ভালো থাকে এজন্য গাছের নিজস্ব প্রতিরোধ ক্ষমতা জন্মিয়ে যায়। এ বিষয়ে উন্নত বিশ্বের গবেষণালব্ধ আধুনিক ফলাফল যা অনলাইন থেকেও জানা যায় যে ফোলিয়ার ফিডিং কৌশল ব্যবহার করলে রোগ এবং পোকামাকড়ের প্রতি গাছ বেশী প্রতিরোধী হয়ে উঠে। অনেক গোলাপ গ্রোয়ার আমাকে লাল মাকড় কম হবার বিষয়ে তথ্য দিয়েছেন। অনেক সাধারণ চাষি তাদের ফসলে ম্যাজিক গ্রোথ ব্যবহার করার কারণে তাদের ফসলে রোগ বালাই কম হয়েছে বলেও জানিয়েছেন। আসলে এর মধ্যে কোন ম্যাজিক নেই রয়েছে নিখাদ বিজ্ঞান যা আমাদের জানা নেই। কারণ আমাদেরকে দেশে কৃষির পড়াশোনাতে ফিলিয়ার ফিডিং বিষয়ের বিজ্ঞান সমন্ধে বিস্তাতির ভাবে কোন ধারণা পূর্বেও যেমন প্রদান করা হয়নি এখনও হচ্ছে না। এজন্য আমার এ উদ্ভাবন বিষয়ে দেশের গবেষক সমাজের মাঝে এত বিতর্ক। আমি মনে করি দুনিয়া এখন সবার হাতের মুঠোয়। আমরা চাইলেই যে কোন বিষয়ে খুব সহজেই জেনে নিতে পারি। Foliar Feeding/ Foliar Fertilization / Foliar Fertigation লিখে সার্চ দিলেই এই বিজ্ঞানের দুনিয়া আমাদের সামনে চলে আসবে। 
আমি চা চাষে ম্যাজিক গ্রোথ প্রযুক্তির এবিষয়ে দেশের সংশ্লিষ্ট চা বিজ্ঞানীদের দৃষ্টি আকর্ষণ করছি। কারণ বিগত ১৫-২০ বছর ধরে পঞ্চগড়ে চা চাষের ব্যাপক সম্প্রসারণ ঘটছে। এক্ষেত্রে ফোলিয়ার ফিডিং কৌশলটি তাদের চায়ের ফলনশীলতা এবং মান বৃদ্ধিতে গুরুর্ত্বপূর্ণ ভূমিকা পালন করতে পারে বলে মনে করি। আর সিলেটের বৃষ্টি বহুল এলাকাতে (মাটিতে প্রয়োগকৃত সার সহজে ধুয়ে চলে যায়) পাতার মাধ্যমে পুষ্টি প্রদান কৌশল সুসংহত ভাবে ব্যবহার করতে পারলে এখানেও চা পাতার ফলন এবং মান অনেক বৃদ্ধি পাবে বলে দৃঢ়ভাবে বিশ্বাস করি। কারণ কোন কোন পুষ্টি উপাদানের প্রয়াগকৃত অংশের প্রায় ১০০% ১২-২৪ ঘন্টার মধ্যেই পাতার মাধ্যমে গাছের মধ্যে ঢুকে যেতে পারে।

Remove",,status,,2017-07-21 02:01:00,4,"['142829839634487', '1282250088540522', '10211935405124503', '10208168164945344']",0,[],0
172177269650835_735621559973067,DC Khulna A Ahsan,141862626396121,,খুলনা জেলা প্রশাসকের কাছে দৈনিক আজকের অগ্রবাণীর কৃতজ্ঞতা জ্ঞাপন,link,http://ajkerograbani.com/%e0%a6%96%e0%a7%81%e0%a6%b2%e0%a6%a8%e0%a6%be-%e0%a6%9c%e0%a7%87%e0%a6%b2%e0%a6%be-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%b6%e0%a6%be%e0%a6%b8%e0%a6%95%e0%a7%87%e0%a6%b0-%e0%a6%95%e0%a6%be%e0%a6%9b/,2017-07-21 01:59:29,14,"['10213892193925556', '634721500050301', '142829839634487', '1768415670041755', '1581460781885964', '1817364621614659', '1945209522357776', '1219145218182276', '568989039961008', '242299532948150', '1379357502140566', '965986613533483', '10209637494871510', '1825652767754219']",0,[],0
172177269650835_735621176639772,DC Khulna A Ahsan,141862626396121,,বাক প্রতিবন্ধী রেকসোনার অদম্য চলার পথে পাশে দাঁড়ালো খুলনা জেলা প্রশাসন,link,https://shar.es/1T2t6i,2017-07-21 01:56:20,13,"['1216924138393352', '1219145218182276', '1356905217676360', '1768415670041755', '1282250088540522', '10209864444514207', '10209199769609790', '568989039961008', '242299532948150', '10209637494871510', '965986613533483', '142829839634487', '1825652767754219']",0,[],1
172177269650835_735661833302373,Mondip Gharai,1173539829381463,http://www.jugantor.com/online/country-news/2017/07/19/52618/মুক্ত-আকাশে-৭২টি-শালিক,মুক্ত আকাশে ৭২টি শালিক | সারা দেশ | Jugantor,link,http://www.jugantor.com/online/country-news/2017/07/19/52618/মুক্ত-আকাশে-৭২টি-শালিক,2017-07-21 01:55:19,8,"['142829839634487', '1282250088540522', '1581460781885964', '1027794787357805', '1394064143961126', '965986613533483', '10209637494871510', '1173539829381463']",0,[],0
172177269650835_735774926624397,Saiful Islam,1279812998756445,রাজশাহী মেট্রোপলিটন পুলিশের 'আলোর পথে ফেরা' থেকে 'নতুন জীবন'।,আরএমপির মাদক সেবন ও ব্যবসা পরিত্যাগকারীদের জীবনমান উন্নয়নে 'নতুন জীবন' | সৃষ্টি সুখের উল্লাস,link,http://innovationnewsletter.a2i.pmo.gov.bd/2017/07/17/4246/আরএমপির-নতুন-জীবন,2017-07-21 01:53:57,10,"['2168018466757814', '142829839634487', '1282250088540522', '1164112493704018', '1768415670041755', '1219145218182276', '965986613533483', '10206180703915138', '825739544256426', '1825652767754219']",0,[],1
172177269650835_735806793287877,Mirza Sarfaraz Ahmed,275193319623888,http://www.bbc.com/bengali/news-40676464,"ইউএনও গ্রেফতারের ঘটনায় প্রধানমন্ত্রী বিস্মিত, প্রশাসনে তোলপাড় - BBC বাংলা",link,http://www.bbc.com/bengali/news-40676464,2017-07-21 01:52:50,12,"['142829839634487', '1603305663014116', '451301131906299', '1402904393082512', '1282250088540522', '1581460781885964', '10211638017134329', '1482840905092631', '1183520018420315', '2016846998549244', '1266597943486651', '568989039961008']",0,[],0
172177269650835_735943923274164,Hamidul Islam Prodhan,849482841867244,,Mahbub,photo,https://www.facebook.com/photo.php?fbid=1361711137283686&set=gm.1440086262739500&type=3,2017-07-21 01:51:56,5,"['830366417126084', '142829839634487', '1581460781885964', '409089529487744', '965986613533483']",0,[],1
172177269650835_730292607172629,মুহাম্মদ শাহাদৎ সিদ্দিকী,137829150047541,"আমি একটি বিষয় খুব মনোযোগের সাথে লক্ষ্য করছি। সেটা হলো- যে সকল সরকারি কর্মকর্তা-কর্মচারী ফেসবুক চালান, তাদের সেবা প্রদানের মনমানসিকতা ভালো। তাদের স্বেচ্ছায় সেবা প্রদান করার মানসিকতা রয়েছে। কারো সেটাও না থাকলে কেউ সাহায্য চাইলে সহযোগিতা করেন। কিন্তু যারা কোন সামাজিক মাধ্যমের সাথে সম্পর্ক রাখেন না তাদের অবস্থা খুবই করুন বলে আমার মনে হয়েছে। তাই সকলকে ফেসবুক সহ বিভিন্ন সামাজিক মাধ্যমের সাথে জড়ানোটা জরুরী। এজন্য সরকারিভাবে সকল কর্মকর্তা-কর্মচারীর জন্য ফেসবুক ব্যবহার ফ্রি করে দেয়া যায় কিনা ? কারণ অনেকে নিজের খরচে ফেসবুক চালাতে চান না।যদিও ফ্রিতে চালানোর সুযোগ রয়েছে সেটা আংশিক সুবিধা সম্পন্ন। Audit and Accounts Forum নামে একটি ফেসবুক পেজ আছে। যেখান থেকে প্রতিনিয়ত জটিল জটিল সেবা সহজীকরণ করা হচ্ছে। যে কাজটি করতে সময় বেশী লাগতো, দুনীতির আশ্রয় নিতে হতো সেগুলো দুনীতিমুক্তভাবে সহজে করা সম্ভব হচ্ছে। এই গ্রুপে অনেক হিসাব বিভাগের কর্মকর্তা রয়েছেন। এজন্য অডিট এবং হিসাব বিভাগের সকল কর্মকর্তাকে এই গ্রুপে যুক্ত করার জন্য সরকারিভাবে বাধ্য করা যেতে পারে। কারণ কোন অফিসের সমস্যা সেই অফিসের কর্মকর্তাকে যুক্ত করলে আসল ব্যাপার বেরিয়ে আসবে।  Manik Mahmud Sanaul Hoque Mizanur Rahman Somrat Ashok Helaluddin Ahmed Dwijen Sarkar Mofizuddin Mondol  MD Yeahia Molla Sharif Rahman এস এম ইমদাদুল ইসলাম",,status,,2017-07-11 11:32:35,54,"['1551710068177855', '259634681200252', '1355177897846049', '1370689473011237', '815380041933849', '1840743642881984', '2165227060368656', '807731972733615', '1335944269783773', '497994407201065', '142829839634487', '1078036808974116', '1410478665695208', '1484081181679373', '1768415670041755', '10208926225326935', '1294912310628023', '301415103648498', '1981952005419058', '692151837626220', '1297583466965167', '272345026575484', '10213551584453148', '965986613533483', '327143877727576', '242299532948150', '1808828082762988', '1685704101735223', '1378658935564048', '286511621823202', '10202523617408858', '1119175781549570', '1219161471482668', '156276081603881', '2395693210655161', '1196148827119821', '10213425283247850', '1747439932242848', '1824038517612938', '1382516551783227', '1280405675354583', '1971289899813920', '1480935538630221', '220988241679006', '1998145140472078', '1301840256548481', '1357201234333706', '1260627314063639', '316770862116411', '10207821197507208', '693149144185277', '1219145218182276', '720904144738570', '1216924138393352']",9,"['1971289899813920', '1196148827119821', '10211874467551100', '1219161471482668', '10210113599218172', '965986613533483', '880019718828510', '1335944269783773', '1355177897846049']",1
172177269650835_734197106782179,Engr MH Shalehy,10211216612711624,"#০১_এপ্রিল_থেকে_৩১_মার্চ_অর্থ_বছর_ঘোষণা_করা_হোক""
বাংলাদেশ পানি উন্নয়ন বোর্ডের বাঁধ মেরামত বা নদী শাসনের কাজ এপ্রিল এর মধ্যে শেষ করতে না পারার ফলে জলবায়ু পরিবর্তন জনিত কারণে কাঙ্ক্ষিত সুফল প্রাপ্তি থেকে বঞ্চিত হচ্ছি আপনি আমি সবাই। মাসিক অগ্রগতি পর্যালোচনা করলে দেখা যায় ঐসময়ের পানি সম্পদ খাতে সামগ্রিক অগ্রগতি ৫০%-৬০%। পাশাপাশি এপ্রিলের পরপরই পানি বাড়তে থাকে। এতে করে উন্নয়ন কার্যক্রম ব্যাপকভাবে ব্যাহত হয় এবং কিছু ক্ষেত্রে ১০০% কাজ সমাপ্ত করা সম্ভব হয় না। এর থেকে উত্তরণের এক ও অদ্বিতীয় উপায় অর্থ বছর পরিবর্তন করা; যা যুগোপযোগী ও সময়ের দাবী। অর্থ বছর ০১ এপ্রিল থেকে ৩১ মার্চ করা হোক। এতে করে বাংলাদেশ পানি উন্নয়ন বোর্ডের কর্ম সুফল শতভাগ নিশ্চিত করা সম্ভব হবে। আসুন আমরা সকলে মিলে আওয়াজ তুলি
#০১ এপ্রিল থেকে ৩১ মার্চ অর্থ বছর ঘোষণা করা হোক""#",Photos from Engr MH Shalehy's post,photo,https://www.facebook.com/photo.php?fbid=10213309206785168&set=gm.734197106782179&type=3,2017-07-18 03:41:10,15,"['853384578148244', '259634681200252', '10213551584453148', '1408752519209363', '319178921858356', '1891243614529177', '855815997904750', '1526765247387084', '1711439002216963', '1374633122635929', '1721369911513515', '10209825927619427', '142829839634487', '10203345013382036', '10211216612711624']",1,['853384578148244'],2
172177269650835_735287560006467,A K Azad Bhuiyan,1356905217676360,https://m.facebook.com/groups/1469216476664277?view=permalink&id=1900969390155648,,status,,2017-07-19 21:50:32,7,"['1266697966780711', '259634681200252', '142829839634487', '1356905217676360', '1615652548468290', '1342872272475416', '1310276355670642']",2,"['10153892048956582', '1356905217676360']",0
172177269650835_734990736702816,Md Abdul Jalil,245635482535348,,,photo,https://www.facebook.com/photo.php?fbid=340093096422919&set=gm.734990736702816&type=3,2017-07-19 10:33:50,15,"['142829839634487', '10214006963707273', '1282250088540522', '10209864444514207', '259634681200252', '1307104319348814', '1861372073889977', '369088840173026', '220521358472140', '10213551584453148', '855815997904750', '1350522874991985', '1768415670041755', '245635482535348', '233799683714345']",1,['10213551584453148'],0
172177269650835_735643896637500,Mofizul Islam,221065108297211,,Implementation Monitoring & Evaluation Division - IMED,photo,https://www.facebook.com/imedbd/photos/a.1671113606531943.1073741841.1429723607337612/1697591357217501/?type=3,2017-07-20 07:54:59,64,"['316770862116411', '1472860706109214', '10154166807715949', '1284255281617536', '229448497460775', '1907823746105880', '439772119741932', '221065108297211', '1198458826931983', '10208554006863019', '933039403503623', '965986613533483', '10209471349971691', '259634681200252', '1275680719158020', '511321192532322', '1368508096516494', '638081459711855', '1859533800925677', '10211071993054615', '210980869430574', '790492841128718', '10209475197741556', '840878229399868', '333054127106999', '1279812998756445', '858365200980628', '878110515673955', '1144907715577355', '1930453467223737', '1115301111900753', '1748584375440805', '1243960945696545', '1899941173601411', '319904951786402', '1021951501240561', '1581460781885964', '701993103331919', '1803409766598774', '671012603102472', '10154628786704792', '1477241642336217', '652994738204393', '659196234282207', '1859586234364626', '10211507307296480', '1839845926284877', '2165227060368656', '861959307240884', '1200230193436335', '10209972395259810', '1335944269783773', '10210409467415039', '1449634795074654', '142829839634487', '1383066848383822', '816571881835321', '1219145218182276', '2051624978403569', '10210246165304320', '1825652767754219', '1680583405300504', '1485909464757441', '10211709386800844']",3,"['1335944269783773', '1115301111900753', '1930453467223737']",0
172177269650835_735197956682094,Usman Gani,10211320389954083,"উদ্ভাবনের গল্প.....। 
জনাব মোঃ আবুল কালাম আজাদ, মাননীয় মুখ্য সমন্বয়ক(এসডিজি), প্রধানমন্ত্রীর কার্যালয় স্যার এর সদয় নির্দেশনার আলোকে ঝিনাইদহ সদর উপজেলা ভূমি অফিসের উদ্ভাবনের গল্প এ গ্রুপে শেয়ার করা হলো।",Photos from Usman Gani's post,photo,https://www.facebook.com/photo.php?fbid=10213516201928010&set=gm.735197956682094&type=3,2017-07-19 10:22:20,45,"['830366417126084', '1987948604571118', '1282250088540522', '753121338169181', '10211168985877665', '624506347752188', '259634681200252', '1987346421502367', '319931181766106', '10209782902482404', '1838300783152919', '142829839634487', '1119175781549570', '1416535495102775', '1924807417843543', '1308892732496029', '10202523617408858', '10209799650419187', '10154628885454792', '281391245662868', '784983238307734', '10210288429300934', '1503633329695034', '1854821754838696', '320574328368653', '10211883652514509', '1747811018849613', '10211306621254107', '10211965590243814', '1272731776121157', '1407309389352798', '10211651611310883', '1363791113716817', '1219145218182276', '10208219424789801', '1164112493704018', '1803367116583227', '859684570851862', '1112008625566449', '1128254540624449', '1448640205160459', '301415103648498', '10208019842286112', '1560723273972636', '1021951501240561']",3,"['1363791113716817', '919799078156711', '281391245662868']",9
172177269650835_734962593372297,DC Khairul,336749586710095,"পিরোজপুর জেলা ব্রাণ্ডিং বিষয়ক কর্মশালা ১৮/৭/২০১৭খ্রি: তারিখ সকাল ১০:০০ টায় জেলা প্রশাসকের সম্মেলন কক্ষে অনুষ্ঠিত হয়। এতে উপ পরিচালক, কৃষি সম্প্রসারণ অধিদপ্তর পিরোজপুর, অতিরিক্ত জেলা প্রশাসকবৃন্দ, বিভিন্ন বিভাগীয় কর্মকর্তাবৃন্দ, মাল্টা চাষীগণের প্রতিনিধি, ইলেক্ট্রনিক ও প্রিন্ট মিডিয়ার সাংবাদিকগণ ও গণ্যমান্য ব্যাক্তিবর্গ উপস্থিত ছিলেন। ব্রান্ডিং পন্য হিসেবে অপ্রচলিত ফল মাল্টা চাষ জেলায় ব্যাপক আলোড়ন সৃষ্টি করেছে। এর স্বল্প সময়ে ফল দেওয়ার ক্ষমতা, মিষ্টতা, ফলন, বৈদেশিক মুদ্রা সাশ্রয়ী ও অর্থনৈতিক গুরুত্বের কারণে সর্বমহলের সমাদৃত হয়েছে। একবছর আগে জেলায় মাত্র ৫০টি বাগান ছিল, এখন বাগানের সংখ্যা প্রায় ৬০০টি, এবছর এজেলা থেকে ১০ লক্ষের বেশী চারা বিভিন্ন জেলায় গিয়েছ যার আর্থিক মূল্য প্রায় ২ কোটি টাকা। এখন চারা রোপনের উপযুক্ত সময়। আগষ্ট- সেপ্টেম্বর থেকে ফল পাকা শুরু হবে। কর্মশালায় মাল্টা চাষের বিভিন্ন দিক নিয়ে আলোচনা পূর্বক গুরূত্বপূর্ণ সিদ্ধান্তসমূহ গৃহীত হয়। মাল্টাকে পিরোজপুর জেলার ব্রাণ্ডিং করা হয়। এছাড়াও স্বরুপকাঠির পেয়ারা, আটঘর-কুরিয়ানার ভাসমান পেয়ারার হাট, নাজিরপুরের ভাসমান সব্জিচাষ পদ্ধতি ইত্যাদি স্থানীয়ভাবে ব্রাণ্ডিংপণ্য হিসেবে সমধিক প্রসিদ্ধ।",,status,,2017-07-18 22:41:51,24,"['965986613533483', '259634681200252', '499066030432797', '1714856038819173', '305624413219968', '337598826661497', '319178921858356', '335466126904646', '276085529534654', '450937671946951', '1925486381038932', '351175408652469', '1581460781885964', '484685115209081', '254435505061471', '2005659466334595', '835766049910354', '1676475832377762', '1474643175896907', '1219145218182276', '1825621324382932', '142829839634487', '1530253457039320']",2,"['142829839634487', '499066030432797']",0
172177269650835_735596799975543,Uzzal Ahmed Ha,807731972733615,"মাননীয়, মহাপরিচালক, স্বাস্থ্য অধিদপ্তর ,স্যারের সুদৃষ্টি কামনা করছি।  স্বাস্হ্য বিভাগের একটি পদের নাম ""স্বাস্থ্য সহকারী "" তাদের অনেক কাজের মধ্যে একটি অন্যতম কাজ হচ্ছে ইপিআই ( টিকাদান কর্মসূচি)  কাজ।  শুধু টিকাদান কর্মসূচি নিয়ে কিছু কথা। সীতাকুন্ডের একটি ঘটনায় দেখা গেছে শিশুদেরকে হামের টিকা না দেওয়ার কারনে, হাম ও অপুষ্টিতে নয় জন শিশু মারা যায় এবং তারই কারনে সেই এলাকায় কর্মরত স্বাস্থ্য সহকারী সহ  ছয় জনকে শাস্তি মূলক বদলি করা হয়। স্বাস্থ্য সহকারী এমন একটি পদের নাম যারা মাঠপর্যায়ে ০-১৮ মাসের শিশুদের নিয়মিত টিকাপ্রদান, ১৫-৪৯ বছর  বয়সী মহিলাদের টিটি টিকাপ্রদান ,০৫ বছর থেকে ১৫ বছর বয়সী প্রাথমিক ও হাই স্কুলে পড়ুয়া ছাত্র -ছাত্রীদের হাম ক্যাম্পেইনর আওতায় হামের টিকা দেওয়ার মত কঠিন এই কর্মযজ্ঞ সম্পাদন করে থাকে যারা তারাই হলো "" স্বাস্থ্য  সহকারী ""। সীতাকুণ্ডের ঘটনায় এটাই প্রমাণ করে যে,বাংলাদেশে একমাত্র স্বাস্থ্য সহকারীরাই সরকারি ভাবে শিশু, কিশোরী, মাদের টিকা প্রদান করে থাকে সেজন্য এই টিকা কর্যক্রমের যেকোন গাফলতি,দুর্নাম এবং যেকোন অব্যবস্থাপনার জন্য স্বাস্থ্য  সহকারীরাই দায়ী ও বিভাগীয় শাস্তি পায়।  তাহলে স্বাস্থ্য বিভাগের সম্মানিত ডিজি মহোদয়ের নিকট প্রশ্ন টিকাদানের ব্যার্থতার জন্য স্বাস্থ্য  সহকারী দায়ী হলে তাহলে কেন টিকাদানের সুফল- দেশের জন্য অর্জন - এমডিজি, সাউথ সাউস পুরস্কার যে স্বাস্থ্য  সহকারীরা বয়ে আনল, তার সুফল কেনো স্বাস্থ্য সহকারীরা পাবেনা?প্রশ্ন :হাস মুরগী টিকা দিয়ে টেকনিক্যাল মর্যাদা পায় কিন্তু সৃষ্টির সেরা জীব মানুষ ( শিশু) কে টিকাদিয়ে স্বাস্থ্য সহকারীরা কেনো টেকনিক্যাল পদমর্যাদা পাবেনা?যে স্বাস্থ্য সহকারীরা দেশকে পোলিও মুক্ত করেছে তারা কেন আজ অবহেলিত?",,status,,2017-07-20 05:43:02,46,"['316770862116411', '309236552858042', '164899460721713', '365898470493274', '324690627970895', '1924292967783884', '1707079849597871', '287296171751458', '1881750422088130', '464833717214490', '1470649462997006', '350365778717173', '965986613533483', '1874138592908009', '1274754865968161', '259634681200252', '1955534068065121', '1481336975265151', '325080131272288', '761484480690614', '721715661352178', '1698584490171444', '534546276936866', '10155493430168349', '445968362441444', '148111655766482', '493920914294273', '467541800276226', '466446440381736', '332478647183744', '1932440267003744', '1183520018420315', '490495694635180', '976541762480081', '454614368243391', '2165227060368656', '807731972733615', '142829839634487', '10210445250115454', '255413538283139', '1597113106996763', '245458212556993', '253639348460250', '1248573481879130', '1219145218182276']",1,['253639348460250'],13
172177269650835_734507913417765,Samad Faruq,919799078156711,জেলা পর্যায়ে জনপ্রশাসন পদক ২০১৭ এ চুড়ান্তভাবে মনোনীত সকলকে অভিনন্দন।,,photo,https://www.facebook.com/photo.php?fbid=1062978913838726&set=gm.734507913417765&type=3,2017-07-18 03:39:29,101,"['1112094758888166', '765557706950110', '1370689473011237', '1388309414600983', '797735933734506', '459927297699736', '1078036808974116', '762807097231018', '2165227060368656', '861959307240884', '10210246165304320', '10210334784538941', '155024361732966', '784983238307734', '1424635457624757', '1067826353339243', '1528437290559910', '1317667698305350', '697537253786533', '714815998707863', '985290924948556', '1275949719166306', '1680583405300504', '1346667262018725', '737437726438924', '1844830459135365', '10154230293805415', '1928432250762245', '319178921858356', '1878619722396230', '1173476006066858', '933039403503623', '1413357695412576', '908582939307576', '154971718405972', '302909830162861', '982650888541605', '10154628885454792', '10207519036029079', '835766049910354', '653357868170027', '10210021603523380', '1903347563246590', '1394064143961126', '1624307607603203', '10210280679348887', '233675510487247', '10213551584453148', '257548371399098', '10208413553637437', '1245267178853288', '685754434926361', '465859813781646', '1027794787357805', '10208419309256171', '1698584490171444', '10211320389954083', '835377556565941', '1183754858344696', '1337224419732571', '10211709386800844', '1628010040834795', '10214049136009367', '436650413391037', '1840743642881984', '1529924343705689', '1510105709032779', '344476615969558', '10209890709578358', '904908749645750', '1699084333737167', '337808129982352', '851847938251270', '1166274126781635', '244529369303591', '1219145218182276', '1128254540624449', '142829839634487', '1950808508512147', '1093707594098546', '1616079925354807', '1838300783152919', '10209542467493652', '10211687746372190', '1330800826971363', '1768415670041755', '376208269390934', '850329991737101', '659947484165888', '689934417836775', '496624690679517', '1216654891714305', '1825652767754219', '1373754529304454', '1828336033859719', '10208094680421656', '305624413219968', '1372890386142984', '1943190185953085']",19,"['10208094680421656', '1943190185953085', '376208269390934', '1838300783152919', '1490959057595747', '1113634378762431', '692151837626220', '1628010040834795', '10211709386800844', '1698584490171444', '1035401633252730', '10213551584453148', '221065108297211', '141862626396121', '142829839634487', '10154230293805415', '1680583405300504', '919799078156711', '10210246165304320']",0
